model_id,prompt_mode,domain,pairs,pair_accuracy,self_accuracy,opponent_accuracy,flip_rate,same_action_rate
qwen3_8b,local_operator,exploration,30,0.7333333333333333,1.0,0.7333333333333333,0.7333333333333333,0.26666666666666666
qwen3_8b,local_operator,logistics,30,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.13333333333333333
qwen3_8b,local_operator,resource_game,30,0.8,1.0,0.8,0.8,0.2
qwen3_8b,local_operator,tool_agent,30,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.06666666666666667
qwen3_8b,positive_operator,abstract_game,30,0.7333333333333333,0.9666666666666667,0.7666666666666667,0.7333333333333333,0.26666666666666666
qwen3_8b,positive_operator,cyber_defense,30,0.5333333333333333,0.8666666666666667,0.6333333333333333,0.5666666666666667,0.43333333333333335
qwen3_8b,positive_operator,exploration,30,0.7,0.9666666666666667,0.7333333333333333,0.7,0.3
qwen3_8b,positive_operator,logistics,30,0.8333333333333334,0.9,0.9333333333333333,0.8333333333333334,0.16666666666666666
qwen3_8b,positive_operator,resource_game,30,0.8666666666666667,0.9666666666666667,0.9,0.8666666666666667,0.13333333333333333
qwen3_8b,positive_operator,tool_agent,30,0.8333333333333334,0.9666666666666667,0.8666666666666667,0.8333333333333334,0.16666666666666666
